,단어,부정,긍정
675,▁N,-0.019875776,-0.049785726
676,▁NC,0.020456454,0.031866346
677,▁NH,-0.025243182,-0.028661022
678,▁NHN,0.013193841,-0.061945964
679,▁NLL,-0.06179904,-0.023397388
680,▁O,-0.023230582,-0.07766807
681,▁P,0.028057363,0.00025817007
682,▁PC,0.0017841049,-0.019206852
683,▁PD,0.013986802,0.0010595471
684,▁Q,0.051536098,-0.05308558
685,▁QPR,0.017964114,-0.06092648
686,▁R,-0.0013644795,-0.052377287
687,▁S,0.04647757,-0.035679303
688,▁SBS,0.04337969,0.030810572
689,▁SK,0.014557611,-0.071188845
690,▁SM,-0.011791896,0.008790366
691,▁SNS,0.028859846,-0.053146716
692,▁STX,0.03857426,0.008177609
693,▁T,0.0026508984,-0.026461372
694,▁TV,0.0012999782,-0.011610707
695,▁U,0.01663641,-0.03420274
696,▁US,-0.002608085,0.021556294
697,▁V,0.02204476,-0.061003126
698,▁VIP,0.012718562,0.00068396516
699,▁W,0.041764952,-0.07193267
700,▁XML,0.0012172414,-0.043863773
701,▁YG,0.027868675,-0.0070818067
702,▁[,-0.0027915034,-0.059782945
703,▁`,-0.011967781,-0.04454934
704,▁and,0.050385036,0.0033070045
705,▁c,0.036036383,-0.043413218
706,▁for,-0.0025378577,-0.024385434
707,▁of,-0.046182353,-0.022899257
708,▁the,0.0029232865,-0.022037666
709,▁to,0.03819761,-0.024834152
710,▁tvN,0.027715422,-0.09110065
711,▁|,0.033840418,-0.017683215
712,▁‘,0.018890772,-0.037415937
713,▁‘2013,0.011079953,-0.021885762
714,▁“,0.02646672,-0.0522942
715,▁“‘,0.015421657,-0.015133302
716,▁│,0.024465937,-0.040619016
717,▁■,0.045198902,0.016160311
718,▁▦,0.0003118366,-0.049472943
719,▁▲,0.01006945,-0.050773196
720,▁△,0.0021530055,-0.03457558
721,▁▷,0.021651406,-0.084810555
722,▁◀,0.0030804519,-0.07619769
723,▁◆,0.030527038,-0.01596743
724,▁◇,0.038007587,-0.039546978
725,▁【,0.040696155,0.01508393
726,▁中,0.023335919,-0.038391676
727,▁美,-0.009139285,-0.009613635
728,▁가격,-0.0023110393,-0.0019782716
729,▁가격은,-0.022595465,0.0128978975
730,▁가격이,-0.03758542,0.011539759
731,▁가계,0.0059545767,-0.07296974
732,▁가계부채,0.0074290987,-0.029986992
733,▁가구,0.05704384,0.03409576
734,▁가까운,0.027259812,0.045452055
735,▁가까이,0.022568056,0.09469655
736,▁가는,0.018057514,0.00067879446
737,▁가능,-0.009610621,0.014382873
738,▁가능성,0.0021499188,0.054166757
739,▁가능성도,-0.009736382,0.05101966
740,▁가능성을,0.022417437,0.041463837
741,▁가능성이,-0.00065620174,0.04761243
742,▁가능하다,-0.034101248,0.04335699
